Sales Dashboard
Last updated,January 27 2025 10:31:7 PM IST

Filter Selection
Date,Today - January 27 2025
Sales breakdown,Marketplace total
Fulfilment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
26,34,"₹8,297.71",1.31,319.14
Compare Sales - Graph view
Time,Today so far (Ordered product sales),Today so far (Units ordered),Yesterday (Ordered product sales),Yesterday (Units ordered),Same day last week (Ordered product sales),Same day last week (Units ordered),Same day last year (Ordered product sales),Same day last year (Units ordered)
12 a.m.,"₹1,074.76",4.0,"₹0.00",0.0,"₹195.02",1.0,"₹0.00",0.0
1 a.m.,"₹0.00",0.0,"₹0.00",0.0,"₹298.00",2.0,"₹0.00",0.0
2 a.m.,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0
3 a.m.,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0
4 a.m.,"₹616.76",3.0,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0
5 a.m.,"₹0.00",0.0,"₹311.00",1.0,"₹0.00",0.0,"₹0.00",0.0
6 a.m.,"₹0.00",0.0,"₹185.00",1.0,"₹195.02",1.0,"₹0.00",0.0
7 a.m.,"₹0.00",0.0,"₹311.00",1.0,"₹0.00",0.0,"₹0.00",0.0
8 a.m.,"₹457.44",3.0,"₹0.00",0.0,"₹272.00",1.0,"₹0.00",0.0
9 a.m.,"₹496.00",2.0,"₹0.00",0.0,"₹467.46",3.0,"₹0.00",0.0
10 a.m.,"₹737.76",3.0,"₹265.00",1.0,"₹466.92",3.0,"₹399.00",1.0
11 a.m.,"₹1,002.02",4.0,"₹1,009.00",3.0,"₹195.02",1.0,"₹1,093.00",3.0
12 p.m.,"₹1,150.69",4.0,"₹622.00",2.0,"₹0.00",0.0,"₹779.00",2.0
1 p.m.,"₹1,371.00",5.0,"₹1,635.75",8.0,"₹0.00",0.0,"₹0.00",0.0
2 p.m.,"₹616.52",3.0,"₹309.93",1.0,"₹334.00",1.0,"₹628.00",2.0
3 p.m.,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0
4 p.m.,"₹0.00",0.0,"₹1,032.18",4.0,"₹195.02",1.0,"₹0.00",0.0
5 p.m.,"₹0.00",0.0,"₹319.00",1.0,"₹0.00",0.0,"₹0.00",0.0
6 p.m.,"₹0.00",0.0,"₹622.00",2.0,"₹0.00",0.0,"₹0.00",0.0
7 p.m.,"₹510.00",2.0,"₹0.00",0.0,"₹0.00",0.0,"₹0.00",0.0
8 p.m.,"₹264.76",1.0,"₹0.00",0.0,"₹199.00",1.0,"₹0.00",0.0
9 p.m.,"₹0.00",0.0,"₹760.00",2.0,"₹349.00",1.0,"₹0.00",0.0
10 p.m.,,,"₹329.00",1.0,"₹605.76",2.0,"₹0.00",0.0
11 p.m.,,,"₹574.93",2.0,"₹1,093.71",3.0,"₹229.00",1.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Today so far,26,34,"₹8,297.71",1.31,319.14
Yesterday,24,30,"₹8,285.79",1.25,345.24
Same day last week,18,21,"₹4,865.93",1.17,270.33
Same day last year,8,9,"₹3,128.00",1.12,391.0
% change from yesterday,23%,25%,12.41%,1.5503862%,-9.211418%
Today through 10 p.m. IST,26,34,"₹8,297.71",1.31,319.14
Yesterday through 10 p.m. IST,21,27,"₹7,381.86",1.29,351.52
% change from same day last week,100%,112%,162.05%,6.504059%,31.025991%
Today through 10 p.m. IST,26,34,"₹8,297.71",1.31,319.14
Same day last week through 10 p.m. IST,13,16,"₹3,166.46",1.23,243.57
% change from same day last year,271%,325%,186.23%,14.912277%,-22.939102%
Today through 10 p.m. IST,26,34,"₹8,297.71",1.31,319.14
Same day last year through 10 p.m. IST,7,8,"₹2,899.00",1.14,414.14
